Gene Ensembl ID,2020 Gene Name,2024 Gene Name,2020 Gene Type,2024 Gene Type
ENSMUSG00000000184,Ccnd2,Ccnd2,protein_coding,protein_coding
ENSMUSG00000000194,Gpr107,Gpr107,protein_coding,protein_coding
ENSMUSG00000000197,Nalcn,Nalcn,protein_coding,protein_coding
ENSMUSG00000000202,Btbd17,Btbd17,protein_coding,protein_coding
ENSMUSG00000000204,Slfn4,Slfn4,protein_coding,protein_coding
ENSMUSG00000000214,Th,Th,protein_coding,protein_coding
ENSMUSG00000000215,Ins2,Ins2,protein_coding,protein_coding
ENSMUSG00000000216,Scnn1g,Scnn1g,protein_coding,protein_coding
ENSMUSG00000000223,Drp2,Drp2,protein_coding,protein_coding
ENSMUSG00000000244,Tspan32,Tspan32,protein_coding,protein_coding
ENSMUSG00000000247,Lhx2,Lhx2,protein_coding,protein_coding
ENSMUSG00000000248,Clec2g,Clec2g,protein_coding,protein_coding
ENSMUSG00000000253,Gmpr,Gmpr,protein_coding,protein_coding
ENSMUSG00000000263,Glra1,Glra1,protein_coding,protein_coding
ENSMUSG00000000266,Mid2,Mid2,protein_coding,protein_coding
ENSMUSG00000000275,Trim25,Trim25,protein_coding,protein_coding
ENSMUSG00000000276,Dgke,Dgke,protein_coding,protein_coding
ENSMUSG00000000278,Scpep1,Scpep1,protein_coding,protein_coding
ENSMUSG00000000282,Mnt,Mnt,protein_coding,protein_coding
ENSMUSG00000000290,Itgb2,Itgb2,protein_coding,protein_coding
ENSMUSG00000000295,Hddc2,Hddc2,protein_coding,protein_coding
ENSMUSG00000000296,Tpd52l1,Tpd52l1,protein_coding,protein_coding
ENSMUSG00000000301,Pemt,Pemt,protein_coding,protein_coding
ENSMUSG00000000303,Cdh1,Cdh1,protein_coding,protein_coding
ENSMUSG00000000305,Cdh4,Cdh4,protein_coding,protein_coding
ENSMUSG00000000308,Ckmt1,Ckmt1,protein_coding,protein_coding
ENSMUSG00000000317,Bcl6b,Bcl6b,protein_coding,protein_coding
ENSMUSG00000000318,Clec10a,Clec10a,protein_coding,protein_coding
ENSMUSG00000000320,Alox12,Alox12,protein_coding,protein_coding
ENSMUSG00000000325,Arvcf,,protein_coding,
ENSMUSG00000000326,Comt,Comt,protein_coding,protein_coding
ENSMUSG00000000339,Rtca,Rtca,protein_coding,protein_coding
ENSMUSG00000000340,Dbt,Dbt,protein_coding,protein_coding
ENSMUSG00000000346,Dazap2,Dazap2,protein_coding,protein_coding
ENSMUSG00000000355,Mcts1,Mcts1,protein_coding,protein_coding
ENSMUSG00000000359,Rem1,Rem1,protein_coding,protein_coding
ENSMUSG00000000365,Rnf17,Rnf17,protein_coding,protein_coding
ENSMUSG00000000374,Trappc10,Trappc10,protein_coding,protein_coding
ENSMUSG00000000378,Ccm2,Ccm2,protein_coding,protein_coding
ENSMUSG00000000381,Wap,Wap,protein_coding,protein_coding
ENSMUSG00000000384,Tbrg4,Tbrg4,protein_coding,protein_coding
ENSMUSG00000000385,Tmprss2,Tmprss2,protein_coding,protein_coding
ENSMUSG00000000386,,Mx1,,protein_coding
ENSMUSG00000000392,Fap,Fap,protein_coding,protein_coding
ENSMUSG00000000394,Gcg,Gcg,protein_coding,protein_coding
ENSMUSG00000000399,Ndufa9,Ndufa9,protein_coding,protein_coding
ENSMUSG00000000402,Egfl6,Egfl6,protein_coding,protein_coding
ENSMUSG00000000409,Lck,Lck,protein_coding,protein_coding
ENSMUSG00000000411,Tssk3,Tssk3,protein_coding,protein_coding
ENSMUSG00000000416,Cttnbp2,Cttnbp2,protein_coding,protein_coding
ENSMUSG00000000420,Galnt1,Galnt1,protein_coding,protein_coding
ENSMUSG00000000435,Myf5,Myf5,protein_coding,protein_coding
ENSMUSG00000000439,Mkrn2,Mkrn2,protein_coding,protein_coding
ENSMUSG00000000440,Pparg,Pparg,protein_coding,protein_coding
ENSMUSG00000000441,Raf1,Raf1,protein_coding,protein_coding
ENSMUSG00000000486,Sept1,Septin1,protein_coding,protein_coding
ENSMUSG00000000489,Pdgfb,Pdgfb,protein_coding,protein_coding
ENSMUSG00000000530,Acvrl1,Acvrl1,protein_coding,protein_coding
ENSMUSG00000000531,Grasp,Tamalin,protein_coding,protein_coding
ENSMUSG00000000532,Acvr1b,Acvr1b,protein_coding,protein_coding
ENSMUSG00000000538,Tom1l2,Tom1l2,protein_coding,protein_coding
ENSMUSG00000000544,Gpa33,Gpa33,protein_coding,protein_coding
ENSMUSG00000000552,Zfp385a,Zfp385a,protein_coding,protein_coding
ENSMUSG00000000555,Itga5,Itga5,protein_coding,protein_coding
ENSMUSG00000000560,Gabra2,Gabra2,protein_coding,protein_coding
ENSMUSG00000000561,Wdr77,Wdr77,protein_coding,protein_coding
ENSMUSG00000000562,Adora3,Adora3,protein_coding,protein_coding
ENSMUSG00000000563,Atp5f1,Atp5pb,protein_coding,protein_coding
ENSMUSG00000000567,Sox9,Sox9,protein_coding,protein_coding
ENSMUSG00000000568,Hnrnpd,Hnrnpd,protein_coding,protein_coding
ENSMUSG00000000579,Dynlt1c,Dynlt1c,protein_coding,protein_coding
ENSMUSG00000000581,C1d,C1d,protein_coding,protein_coding
ENSMUSG00000000594,Gm2a,Gm2a,protein_coding,protein_coding
ENSMUSG00000000600,Krit1,Krit1,protein_coding,protein_coding
ENSMUSG00000000605,Clcn4,Clcn4,protein_coding,protein_coding
ENSMUSG00000000606,Vmn2r88,Vmn2r88,protein_coding,protein_coding
ENSMUSG00000000617,Grm6,Grm6,protein_coding,protein_coding
ENSMUSG00000000627,Sema4f,Sema4f,protein_coding,protein_coding
ENSMUSG00000000628,Hk2,Hk2,protein_coding,protein_coding
ENSMUSG00000000631,Myo18a,Myo18a,protein_coding,protein_coding
ENSMUSG00000000632,Sez6,Sez6,protein_coding,protein_coding
ENSMUSG00000000673,Haao,Haao,protein_coding,protein_coding
ENSMUSG00000000682,Cd52,Cd52,protein_coding,protein_coding
ENSMUSG00000000686,Abhd15,Abhd15,protein_coding,protein_coding
ENSMUSG00000000690,Hoxb6,Hoxb6,protein_coding,protein_coding
ENSMUSG00000000693,Loxl3,Loxl3,protein_coding,protein_coding
ENSMUSG00000000701,Tcl1b5,Tcl1b5,protein_coding,protein_coding
ENSMUSG00000000706,Btn1a1,Btn1a1,protein_coding,protein_coding
ENSMUSG00000000708,Kat2b,Kat2b,protein_coding,protein_coding
ENSMUSG00000000711,Rab5b,Rab5b,protein_coding,protein_coding
ENSMUSG00000000724,Cryba1,Cryba1,protein_coding,protein_coding
ENSMUSG00000000730,Dnmt3l,Dnmt3l,protein_coding,protein_coding
ENSMUSG00000000731,Aire,Aire,protein_coding,protein_coding
ENSMUSG00000000732,Icosl,Icosl,protein_coding,protein_coding
ENSMUSG00000000738,Spg7,Spg7,protein_coding,protein_coding
ENSMUSG00000000739,Sult5a1,Sult5a1,protein_coding,protein_coding
ENSMUSG00000000740,Rpl13,Rpl13,protein_coding,protein_coding
ENSMUSG00000000743,Chmp1a,Chmp1a,protein_coding,protein_coding
ENSMUSG00000000751,Rpa1,Rpa1,protein_coding,protein_coding
ENSMUSG00000000753,Serpinf1,Serpinf1,protein_coding,protein_coding
ENSMUSG00000000759,Tubgcp3,Tubgcp3,protein_coding,protein_coding
ENSMUSG00000000766,Oprm1,Oprm1,protein_coding,protein_coding
ENSMUSG00000000776,Polr3d,Polr3d,protein_coding,protein_coding
ENSMUSG00000000782,Tcf7,Tcf7,protein_coding,protein_coding
ENSMUSG00000000787,Ddx3x,Ddx3x,protein_coding,protein_coding
ENSMUSG00000000791,Il12rb1,Il12rb1,protein_coding,protein_coding
ENSMUSG00000000792,Slc5a5,Slc5a5,protein_coding,protein_coding
ENSMUSG00000000794,Kcnn3,Kcnn3,protein_coding,protein_coding
ENSMUSG00000000804,Usp32,Usp32,protein_coding,protein_coding
ENSMUSG00000000805,Car4,Car4,protein_coding,protein_coding
ENSMUSG00000000811,Txnrd3,Txnrd3,protein_coding,protein_coding
ENSMUSG00000000817,Fasl,Fasl,protein_coding,protein_coding
ENSMUSG00000000823,Zfp512b,Zfp512b,protein_coding,protein_coding
ENSMUSG00000000826,Dnajc5,Dnajc5,protein_coding,protein_coding
ENSMUSG00000000827,Tpd52l2,Tpd52l2,protein_coding,protein_coding
ENSMUSG00000000838,Fmr1,Fmr1,protein_coding,protein_coding
ENSMUSG00000000861,Bcl11a,Bcl11a,protein_coding,protein_coding
ENSMUSG00000000869,Il4,Il4,protein_coding,protein_coding
ENSMUSG00000000876,Pxmp4,Pxmp4,protein_coding,protein_coding
ENSMUSG00000000881,Dlg3,Dlg3,protein_coding,protein_coding
ENSMUSG00000000884,Gnb1l,Gnb1l,protein_coding,protein_coding
ENSMUSG00000000889,Dbh,Dbh,protein_coding,protein_coding
ENSMUSG00000000901,Mmp11,Mmp11,protein_coding,protein_coding
ENSMUSG00000000902,Smarcb1,Smarcb1,protein_coding,protein_coding
ENSMUSG00000000903,Vpreb3,Vpreb3,protein_coding,protein_coding
ENSMUSG00000000915,Hip1r,Hip1r,protein_coding,protein_coding
ENSMUSG00000000916,Nsun5,Nsun5,protein_coding,protein_coding
ENSMUSG00000000934,Top1mt,Top1mt,protein_coding,protein_coding
ENSMUSG00000000938,Hoxa10,Hoxa10,protein_coding,protein_coding
ENSMUSG00000000942,Hoxa4,Hoxa4,protein_coding,protein_coding
ENSMUSG00000000948,Gm38393,,protein_coding,
ENSMUSG00000000957,Mmp14,Mmp14,protein_coding,protein_coding
ENSMUSG00000000958,Slc7a7,Slc7a7,protein_coding,protein_coding
ENSMUSG00000000959,Oxa1l,Oxa1l,protein_coding,protein_coding
ENSMUSG00000000976,Heatr6,Heatr6,protein_coding,protein_coding
ENSMUSG00000000982,Ccl3,Ccl3,protein_coding,protein_coding
ENSMUSG00000000983,Wfdc18,Wfdc18,protein_coding,protein_coding
ENSMUSG00000001014,Icam4,Icam4,protein_coding,protein_coding
ENSMUSG00000001016,Ilf2,Ilf2,protein_coding,protein_coding
ENSMUSG00000001017,Chtop,Chtop,protein_coding,protein_coding
ENSMUSG00000001018,Snapin,Snapin,protein_coding,protein_coding
ENSMUSG00000001020,S100a4,S100a4,protein_coding,protein_coding
ENSMUSG00000001021,S100a3,S100a3,protein_coding,protein_coding
ENSMUSG00000001023,S100a5,S100a5,protein_coding,protein_coding
ENSMUSG00000001025,S100a6,S100a6,protein_coding,protein_coding
ENSMUSG00000001027,Scn4a,Scn4a,protein_coding,protein_coding
ENSMUSG00000001029,Icam2,Icam2,protein_coding,protein_coding
ENSMUSG00000001034,Mapk7,Mapk7,protein_coding,protein_coding
ENSMUSG00000001036,Epn2,Epn2,protein_coding,protein_coding
ENSMUSG00000001039,B9d1,B9d1,protein_coding,protein_coding
ENSMUSG00000001052,Sec24b,Sec24b,protein_coding,protein_coding
ENSMUSG00000001053,N4bp3,N4bp3,protein_coding,protein_coding
ENSMUSG00000001054,Rmnd5b,Rmnd5b,protein_coding,protein_coding
ENSMUSG00000001056,Nhp2,Nhp2,protein_coding,protein_coding
ENSMUSG00000001062,Vps9d1,Vps9d1,protein_coding,protein_coding
ENSMUSG00000001065,Zfp276,Zfp276,protein_coding,protein_coding
ENSMUSG00000001076,C1ql4,C1ql4,protein_coding,protein_coding
ENSMUSG00000001082,Mfsd10,Mfsd10,protein_coding,protein_coding
ENSMUSG00000001089,Luzp1,Luzp1,protein_coding,protein_coding
ENSMUSG00000001095,Slc13a2,Slc13a2,protein_coding,protein_coding
ENSMUSG00000001098,Kctd10,Kctd10,protein_coding,protein_coding
ENSMUSG00000001100,Poldip2,Poldip2,protein_coding,protein_coding
ENSMUSG00000001103,Sebox,Sebox,protein_coding,protein_coding
ENSMUSG00000001105,Ift20,Ift20,protein_coding,protein_coding
ENSMUSG00000001119,Col6a1,Col6a1,protein_coding,protein_coding
ENSMUSG00000001120,Pcbp3,Pcbp3,protein_coding,protein_coding
ENSMUSG00000001123,Lgals9,Lgals9,protein_coding,protein_coding
ENSMUSG00000001127,Araf,Araf,protein_coding,protein_coding
ENSMUSG00000001128,Cfp,Cfp,protein_coding,protein_coding
ENSMUSG00000001131,Timp1,Timp1,protein_coding,protein_coding
ENSMUSG00000001134,Uxt,Uxt,protein_coding,protein_coding
ENSMUSG00000001138,Cnnm3,Cnnm3,protein_coding,protein_coding
ENSMUSG00000001143,Lman2l,Lman2l,protein_coding,protein_coding
ENSMUSG00000001150,Mcm3ap,Mcm3ap,protein_coding,protein_coding
ENSMUSG00000001151,Pcnt,Pcnt,protein_coding,protein_coding
ENSMUSG00000001155,Ftcd,Ftcd,protein_coding,protein_coding
ENSMUSG00000001156,Mxd1,Mxd1,protein_coding,protein_coding
ENSMUSG00000001157,Gmcl1,Gmcl1,protein_coding,protein_coding
ENSMUSG00000001158,Snrnp27,Snrnp27,protein_coding,protein_coding
ENSMUSG00000001166,Oas1c,Oas1c,protein_coding,protein_coding
ENSMUSG00000001168,Oas1h,Oas1h,protein_coding,protein_coding
ENSMUSG00000001173,Ocrl,Ocrl,protein_coding,protein_coding
ENSMUSG00000001175,Calm1,Calm1,protein_coding,protein_coding
ENSMUSG00000001211,Agpat3,Agpat3,protein_coding,protein_coding
ENSMUSG00000001225,Slc26a3,Slc26a3,protein_coding,protein_coding
ENSMUSG00000001227,Sema6b,Sema6b,protein_coding,protein_coding
ENSMUSG00000001228,Uhrf1,Uhrf1,protein_coding,protein_coding
ENSMUSG00000001229,Dpp9,Dpp9,protein_coding,protein_coding
ENSMUSG00000001240,Ramp2,Ramp2,protein_coding,protein_coding
ENSMUSG00000001247,Lsr,Lsr,protein_coding,protein_coding
ENSMUSG00000001248,Gramd1a,Gramd1a,protein_coding,protein_coding
ENSMUSG00000001249,Hpn,Hpn,protein_coding,protein_coding
ENSMUSG00000001260,Gabrg1,Gabrg1,protein_coding,protein_coding
ENSMUSG00000001270,Ckb,Ckb,protein_coding,protein_coding
ENSMUSG00000001280,Sp1,Sp1,protein_coding,protein_coding
ENSMUSG00000001281,Itgb7,Itgb7,protein_coding,protein_coding
ENSMUSG00000001285,Myg1,Myg1,protein_coding,protein_coding
ENSMUSG00000001288,Rarg,Rarg,protein_coding,protein_coding
ENSMUSG00000001289,Pfdn5,Pfdn5,protein_coding,protein_coding
ENSMUSG00000001300,Efnb2,Efnb2,protein_coding,protein_coding
ENSMUSG00000001305,Rrp15,Rrp15,protein_coding,protein_coding
ENSMUSG00000001313,Rnd2,Rnd2,protein_coding,protein_coding
ENSMUSG00000001323,Srr,Srr,protein_coding,protein_coding
ENSMUSG00000001333,Sync,Sync,protein_coding,protein_coding
ENSMUSG00000001334,Fndc5,Fndc5,protein_coding,protein_coding
ENSMUSG00000001348,Acp5,Acp5,protein_coding,protein_coding
ENSMUSG00000001349,Cnn1,Cnn1,protein_coding,protein_coding
ENSMUSG00000001366,Fbxo9,Fbxo9,protein_coding,protein_coding
ENSMUSG00000001376,Vps50,Vps50,protein_coding,protein_coding
ENSMUSG00000001380,Hars,Hars,protein_coding,protein_coding
ENSMUSG00000001383,Zmat2,Zmat2,protein_coding,protein_coding
ENSMUSG00000001403,Ube2c,Ube2c,protein_coding,protein_coding
ENSMUSG00000001415,Smg5,Smg5,protein_coding,protein_coding
ENSMUSG00000001416,Cct3,Cct3,protein_coding,protein_coding
ENSMUSG00000001418,Glmp,Glmp,protein_coding,protein_coding
ENSMUSG00000001419,Mef2d,Mef2d,protein_coding,protein_coding
ENSMUSG00000001420,Tmem79,Tmem79,protein_coding,protein_coding
ENSMUSG00000001424,Snd1,Snd1,protein_coding,protein_coding
ENSMUSG00000001435,Col18a1,Col18a1,protein_coding,protein_coding
ENSMUSG00000001436,Slc19a1,Slc19a1,protein_coding,protein_coding
ENSMUSG00000001440,Kpnb1,Kpnb1,protein_coding,protein_coding
ENSMUSG00000001441,Npepps,Npepps,protein_coding,protein_coding
ENSMUSG00000001444,Tbx21,Tbx21,protein_coding,protein_coding
ENSMUSG00000001445,Mrpl10,Mrpl10,protein_coding,protein_coding
ENSMUSG00000001467,Cyp51,Cyp51,protein_coding,protein_coding
ENSMUSG00000001472,Tcf25,Tcf25,protein_coding,protein_coding
ENSMUSG00000001473,Tubb6,Tubb6,protein_coding,protein_coding
ENSMUSG00000001482,Def8,Def8,protein_coding,protein_coding
ENSMUSG00000001493,Meox1,Meox1,protein_coding,protein_coding
ENSMUSG00000001494,Sost,Sost,protein_coding,protein_coding
ENSMUSG00000001496,Nkx2-1,Nkx2-1,protein_coding,protein_coding
ENSMUSG00000001497,Pax9,Pax9,protein_coding,protein_coding
ENSMUSG00000001504,Irx2,Irx2,protein_coding,protein_coding
ENSMUSG00000001506,Col1a1,Col1a1,protein_coding,protein_coding
ENSMUSG00000001507,Itga3,Itga3,protein_coding,protein_coding
ENSMUSG00000001508,Sgca,Sgca,protein_coding,protein_coding
ENSMUSG00000001510,Dlx3,Dlx3,protein_coding,protein_coding
ENSMUSG00000001517,Foxm1,Foxm1,protein_coding,protein_coding
ENSMUSG00000001518,Itfg2,Itfg2,protein_coding,protein_coding
ENSMUSG00000001520,Nrip2,Nrip2,protein_coding,protein_coding
ENSMUSG00000001521,Tulp3,Tulp3,protein_coding,protein_coding
ENSMUSG00000001524,Gtf2h4,Gtf2h4,protein_coding,protein_coding
ENSMUSG00000001525,Tubb5,Tubb5,protein_coding,protein_coding
ENSMUSG00000001542,Ell2,Ell2,protein_coding,protein_coding
ENSMUSG00000001552,Jup,Jup,protein_coding,protein_coding
ENSMUSG00000001555,Fkbp10,Fkbp10,protein_coding,protein_coding
ENSMUSG00000001558,Klhl10,Klhl10,protein_coding,protein_coding
ENSMUSG00000001566,Mnx1,Mnx1,protein_coding,protein_coding
ENSMUSG00000001569,Nom1,Nom1,protein_coding,protein_coding
ENSMUSG00000001576,Ergic1,Ergic1,protein_coding,protein_coding
ENSMUSG00000001583,Tnk1,Tnk1,protein_coding,protein_coding
ENSMUSG00000001588,Acap1,Acap1,protein_coding,protein_coding
ENSMUSG00000001604,Tcea3,Tcea3,protein_coding,protein_coding
ENSMUSG00000001622,Csn3,Csn3,protein_coding,protein_coding
ENSMUSG00000001627,Ifrd1,Ifrd1,protein_coding,protein_coding
ENSMUSG00000001630,Stk38l,Stk38l,protein_coding,protein_coding
ENSMUSG00000001632,Brpf1,Brpf1,protein_coding,protein_coding
ENSMUSG00000001642,Akr1b3,Akr1b3,protein_coding,protein_coding
ENSMUSG00000001655,Hoxc13,Hoxc13,protein_coding,protein_coding
ENSMUSG00000001656,Hoxc11,Hoxc11,protein_coding,protein_coding
ENSMUSG00000001657,Hoxc8,Hoxc8,protein_coding,protein_coding
ENSMUSG00000001661,Hoxc6,Hoxc6,protein_coding,protein_coding
ENSMUSG00000001663,Gstt1,Gstt1,protein_coding,protein_coding
ENSMUSG00000001665,Gstt3,Gstt3,protein_coding,protein_coding
ENSMUSG00000001666,Ddt,Ddt,protein_coding,protein_coding
ENSMUSG00000001670,Tat,Tat,protein_coding,protein_coding
ENSMUSG00000001672,Marveld3,Marveld3,protein_coding,protein_coding
ENSMUSG00000001674,Ddx18,Ddx18,protein_coding,protein_coding
ENSMUSG00000001687,Ubl3,Ubl3,protein_coding,protein_coding
ENSMUSG00000001700,Gramd3,Gramd3,protein_coding,protein_coding
ENSMUSG00000001707,Eef1e1,Eef1e1,protein_coding,protein_coding
ENSMUSG00000001729,Akt1,Akt1,protein_coding,protein_coding
ENSMUSG00000001739,Cldn15,Cldn15,protein_coding,protein_coding
ENSMUSG00000001741,Il16,Il16,protein_coding,protein_coding
ENSMUSG00000001750,Tcirg1,Tcirg1,protein_coding,protein_coding
ENSMUSG00000001751,Naglu,Naglu,protein_coding,protein_coding
ENSMUSG00000001755,Coasy,Coasy,protein_coding,protein_coding
ENSMUSG00000001761,Smo,Smo,protein_coding,protein_coding
ENSMUSG00000001763,Tspan33,Tspan33,protein_coding,protein_coding
ENSMUSG00000001767,Crnkl1,Crnkl1,protein_coding,protein_coding
ENSMUSG00000001768,Rin2,Rin2,protein_coding,protein_coding
ENSMUSG00000001773,Folh1,Folh1,protein_coding,protein_coding
ENSMUSG00000001774,Chordc1,Chordc1,protein_coding,protein_coding
ENSMUSG00000001783,Rtcb,Rtcb,protein_coding,protein_coding
ENSMUSG00000001785,Pwp1,Pwp1,protein_coding,protein_coding
ENSMUSG00000001786,Fbxo7,Fbxo7,protein_coding,protein_coding
ENSMUSG00000001794,Capns1,Capns1,protein_coding,protein_coding
ENSMUSG00000001802,Lrp3,Lrp3,protein_coding,protein_coding
ENSMUSG00000001804,Dsg4,Dsg4,protein_coding,protein_coding
ENSMUSG00000001815,Evx2,Evx2,protein_coding,protein_coding
ENSMUSG00000001819,Hoxd13,Hoxd13,protein_coding,protein_coding
ENSMUSG00000001823,Hoxd12,Hoxd12,protein_coding,protein_coding
ENSMUSG00000001827,Folr1,Folr1,protein_coding,protein_coding
ENSMUSG00000001829,Clpb,Clpb,protein_coding,protein_coding
ENSMUSG00000001833,Sept7,Septin7,protein_coding,protein_coding
ENSMUSG00000001844,Zdhhc4,Zdhhc4,protein_coding,protein_coding
ENSMUSG00000001847,Rac1,Rac1,protein_coding,protein_coding
ENSMUSG00000001855,Nup214,Nup214,protein_coding,protein_coding
ENSMUSG00000001864,Aif1l,Aif1l,protein_coding,protein_coding
ENSMUSG00000001865,Cpa3,Cpa3,protein_coding,protein_coding
ENSMUSG00000001870,Ltbp1,Ltbp1,protein_coding,protein_coding
ENSMUSG00000001891,Ugp2,Ugp2,protein_coding,protein_coding
ENSMUSG00000001901,Kcnh6,Kcnh6,protein_coding,protein_coding
ENSMUSG00000001909,Trmt1,Trmt1,protein_coding,protein_coding
ENSMUSG00000001910,Nacc1,Nacc1,protein_coding,protein_coding
ENSMUSG00000001911,Nfix,Nfix,protein_coding,protein_coding
ENSMUSG00000001918,Slc1a5,Slc1a5,protein_coding,protein_coding
ENSMUSG00000001924,Uba1,Uba1,protein_coding,protein_coding
ENSMUSG00000001930,Vwf,Vwf,protein_coding,protein_coding
ENSMUSG00000001942,Siae,Siae,protein_coding,protein_coding
ENSMUSG00000001943,Vsig2,Vsig2,protein_coding,protein_coding
ENSMUSG00000001946,Esam,Esam,protein_coding,protein_coding
ENSMUSG00000001948,Spa17,Spa17,protein_coding,protein_coding
ENSMUSG00000001962,Fam50a,Fam50a,protein_coding,protein_coding
ENSMUSG00000001964,Emd,Emd,protein_coding,protein_coding
ENSMUSG00000001983,Taco1,Taco1,protein_coding,protein_coding
ENSMUSG00000001985,Grik3,Grik3,protein_coding,protein_coding
ENSMUSG00000001986,Gria3,Gria3,protein_coding,protein_coding
ENSMUSG00000001988,Npas1,Npas1,protein_coding,protein_coding
ENSMUSG00000001995,Sipa1l2,Sipa1l2,protein_coding,protein_coding
ENSMUSG00000001998,Ap4e1,Ap4e1,protein_coding,protein_coding
ENSMUSG00000001999,Blvra,Blvra,protein_coding,protein_coding
ENSMUSG00000002006,Pdzd4,Pdzd4,protein_coding,protein_coding
ENSMUSG00000002007,Srpk3,Srpk3,protein_coding,protein_coding
ENSMUSG00000002010,Idh3g,Idh3g,protein_coding,protein_coding
ENSMUSG00000002012,Pnck,Pnck,protein_coding,protein_coding
ENSMUSG00000002014,Ssr4,Ssr4,protein_coding,protein_coding
ENSMUSG00000002015,Bcap31,Bcap31,protein_coding,protein_coding
ENSMUSG00000002017,Fam98a,Fam98a,protein_coding,protein_coding
ENSMUSG00000002020,Ltbp2,Ltbp2,protein_coding,protein_coding
ENSMUSG00000002028,Kmt2a,Kmt2a,protein_coding,protein_coding
ENSMUSG00000002031,Ift46,Ift46,protein_coding,protein_coding
ENSMUSG00000002032,Tmem25,Tmem25,protein_coding,protein_coding
ENSMUSG00000002033,Cd3g,Cd3g,protein_coding,protein_coding
ENSMUSG00000002043,Trappc6a,Trappc6a,protein_coding,protein_coding
ENSMUSG00000002052,Supt6,Supt6,protein_coding,protein_coding
ENSMUSG00000002055,Spag5,Spag5,protein_coding,protein_coding
ENSMUSG00000002057,Foxn1,Foxn1,protein_coding,protein_coding
ENSMUSG00000002058,Unc119,Unc119,protein_coding,protein_coding
ENSMUSG00000002059,Rab34,Rab34,protein_coding,protein_coding
ENSMUSG00000002064,Sdf2,Sdf2,protein_coding,protein_coding
ENSMUSG00000002068,Ccne1,Ccne1,protein_coding,protein_coding
ENSMUSG00000002076,Hsf2bp,Hsf2bp,protein_coding,protein_coding
ENSMUSG00000002083,Bbc3,Bbc3,protein_coding,protein_coding
ENSMUSG00000002100,Mybpc3,Mybpc3,protein_coding,protein_coding
ENSMUSG00000002102,Psmc3,Psmc3,protein_coding,protein_coding
ENSMUSG00000002103,Acp2,Acp2,protein_coding,protein_coding
ENSMUSG00000002104,Rapsn,Rapsn,protein_coding,protein_coding
ENSMUSG00000002105,Slc39a13,Slc39a13,protein_coding,protein_coding
ENSMUSG00000002107,Celf2,Celf2,protein_coding,protein_coding
ENSMUSG00000002108,Nr1h3,Nr1h3,protein_coding,protein_coding
ENSMUSG00000002109,Ddb2,Ddb2,protein_coding,protein_coding
ENSMUSG00000002111,Spi1,Spi1,protein_coding,protein_coding
ENSMUSG00000002129,Sf3a1,Sf3a1,protein_coding,protein_coding
ENSMUSG00000002147,Stat6,Stat6,protein_coding,protein_coding
ENSMUSG00000002190,Clgn,Clgn,protein_coding,protein_coding
ENSMUSG00000002204,Napsa,Napsa,protein_coding,protein_coding
ENSMUSG00000002205,Vrk3,Vrk3,protein_coding,protein_coding
ENSMUSG00000002210,Smg9,Smg9,protein_coding,protein_coding
