Gene_Ensembl_ID,2020_Gene_Name,2024_Gene_Name,2020_Gene_Type,2024_Gene_Type
ENSG00000005102,MEOX1,MEOX1,protein_coding,protein_coding
ENSG00000005108,THSD7A,THSD7A,protein_coding,protein_coding
ENSG00000005156,LIG3,LIG3,protein_coding,protein_coding
ENSG00000005175,RPAP3,RPAP3,protein_coding,protein_coding
ENSG00000005187,ACSM3,ACSM3,protein_coding,protein_coding
ENSG00000005189,REXO5,REXO5,protein_coding,protein_coding
ENSG00000005194,CIAPIN1,CIAPIN1,protein_coding,protein_coding
ENSG00000005206,SPPL2B,SPPL2B,protein_coding,protein_coding
ENSG00000005238,FAM214B,ATOSB,protein_coding,protein_coding
ENSG00000005243,COPZ2,COPZ2,protein_coding,protein_coding
ENSG00000005249,PRKAR2B,PRKAR2B,protein_coding,protein_coding
ENSG00000005302,MSL3,MSL3,protein_coding,protein_coding
ENSG00000005339,CREBBP,CREBBP,protein_coding,protein_coding
ENSG00000005379,TSPOAP1,TSPOAP1,protein_coding,protein_coding
ENSG00000005381,MPO,MPO,protein_coding,protein_coding
ENSG00000005421,PON1,PON1,protein_coding,protein_coding
ENSG00000005436,GCFC2,GCFC2,protein_coding,protein_coding
ENSG00000005448,WDR54,WDR54,protein_coding,protein_coding
ENSG00000005469,CROT,CROT,protein_coding,protein_coding
ENSG00000005471,ABCB4,ABCB4,protein_coding,protein_coding
ENSG00000005483,KMT2E,KMT2E,protein_coding,protein_coding
ENSG00000005486,RHBDD2,RHBDD2,protein_coding,protein_coding
ENSG00000005513,SOX8,SOX8,protein_coding,protein_coding
ENSG00000005700,IBTK,IBTK,protein_coding,protein_coding
ENSG00000005801,ZNF195,ZNF195,protein_coding,protein_coding
ENSG00000005810,MYCBP2,MYCBP2,protein_coding,protein_coding
ENSG00000005812,FBXL3,FBXL3,protein_coding,protein_coding
ENSG00000005844,ITGAL,ITGAL,protein_coding,protein_coding
ENSG00000005882,PDK2,PDK2,protein_coding,protein_coding
ENSG00000005884,ITGA3,ITGA3,protein_coding,protein_coding
ENSG00000005889,ZFX,ZFX,protein_coding,protein_coding
ENSG00000005893,LAMP2,LAMP2,protein_coding,protein_coding
ENSG00000005961,ITGA2B,ITGA2B,protein_coding,protein_coding
ENSG00000005981,ASB4,ASB4,protein_coding,protein_coding
ENSG00000006007,GDE1,GDE1,protein_coding,protein_coding
ENSG00000006015,REX1BD,REX1BD,protein_coding,protein_coding
ENSG00000006016,CRLF1,CRLF1,protein_coding,protein_coding
ENSG00000006025,OSBPL7,OSBPL7,protein_coding,protein_coding
ENSG00000006042,TMEM98,TMEM98,protein_coding,protein_coding
ENSG00000006047,YBX2,YBX2,protein_coding,protein_coding
ENSG00000006059,KRT33A,KRT33A,protein_coding,protein_coding
ENSG00000006062,MAP3K14,MAP3K14,protein_coding,protein_coding
ENSG00000006071,ABCC8,ABCC8,protein_coding,protein_coding
ENSG00000006116,CACNG3,CACNG3,protein_coding,protein_coding
ENSG00000006118,TMEM132A,TMEM132A,protein_coding,protein_coding
ENSG00000006125,AP2B1,AP2B1,protein_coding,protein_coding
ENSG00000006128,TAC1,TAC1,protein_coding,protein_coding
ENSG00000006194,ZNF263,ZNF263,protein_coding,protein_coding
ENSG00000006210,CX3CL1,CX3CL1,protein_coding,protein_coding
ENSG00000006282,SPATA20,SPATA20,protein_coding,protein_coding
ENSG00000006283,CACNA1G,CACNA1G,protein_coding,protein_coding
ENSG00000006327,TNFRSF12A,TNFRSF12A,protein_coding,protein_coding
ENSG00000006377,DLX6,DLX6,protein_coding,protein_coding
ENSG00000006432,MAP3K9,MAP3K9,protein_coding,protein_coding
ENSG00000006451,RALA,RALA,protein_coding,protein_coding
ENSG00000006453,BAIAP2L1,BAIAP2L1,protein_coding,protein_coding
ENSG00000006459,KDM7A,KDM7A,protein_coding,protein_coding
ENSG00000006468,ETV1,ETV1,protein_coding,protein_coding
ENSG00000006530,AGK,AGK,protein_coding,protein_coding
ENSG00000006534,ALDH3B1,ALDH3B1,protein_coding,protein_coding
ENSG00000006555,TTC22,TTC22,protein_coding,protein_coding
ENSG00000006576,PHTF2,PHTF2,protein_coding,protein_coding
ENSG00000006606,CCL26,CCL26,protein_coding,protein_coding
ENSG00000006607,FARP2,FARP2,protein_coding,protein_coding
ENSG00000006611,USH1C,USH1C,protein_coding,protein_coding
ENSG00000006625,GGCT,GGCT,protein_coding,protein_coding
ENSG00000006634,DBF4,DBF4,protein_coding,protein_coding
ENSG00000006638,TBXA2R,TBXA2R,protein_coding,protein_coding
ENSG00000006652,IFRD1,IFRD1,protein_coding,protein_coding
ENSG00000006659,LGALS14,LGALS14,protein_coding,protein_coding
ENSG00000006695,COX10,COX10,protein_coding,protein_coding
ENSG00000006704,GTF2IRD1,GTF2IRD1,protein_coding,protein_coding
ENSG00000006712,PAF1,PAF1,protein_coding,protein_coding
ENSG00000006715,VPS41,VPS41,protein_coding,protein_coding
ENSG00000006740,ARHGAP44,ARHGAP44,protein_coding,protein_coding
ENSG00000006744,ELAC2,ELAC2,protein_coding,protein_coding
ENSG00000006747,SCIN,SCIN,protein_coding,protein_coding
ENSG00000006756,ARSD,ARSD,protein_coding,protein_coding
ENSG00000006757,PNPLA4,PNPLA4,protein_coding,protein_coding
ENSG00000006788,MYH13,MYH13,protein_coding,protein_coding
ENSG00000006831,ADIPOR2,ADIPOR2,protein_coding,protein_coding
ENSG00000006837,CDKL3,CDKL3,protein_coding,protein_coding
ENSG00000007001,UPP2,UPP2,protein_coding,protein_coding
ENSG00000007038,PRSS21,PRSS21,protein_coding,protein_coding
ENSG00000007047,MARK4,MARK4,protein_coding,protein_coding
ENSG00000007062,PROM1,PROM1,protein_coding,protein_coding
ENSG00000007080,CCDC124,CCDC124,protein_coding,protein_coding
ENSG00000007129,CEACAM21,CEACAM21,protein_coding,protein_coding
ENSG00000007168,PAFAH1B1,PAFAH1B1,protein_coding,protein_coding
ENSG00000007171,NOS2,NOS2,protein_coding,protein_coding
ENSG00000007174,DNAH9,DNAH9,protein_coding,protein_coding
ENSG00000007202,KIAA0100,BLTP2,protein_coding,protein_coding
ENSG00000007216,SLC13A2,SLC13A2,protein_coding,protein_coding
ENSG00000007237,GAS7,GAS7,protein_coding,protein_coding
ENSG00000007255,TRAPPC6A,TRAPPC6A,protein_coding,protein_coding
ENSG00000007264,MATK,MATK,protein_coding,protein_coding
ENSG00000007306,CEACAM7,CEACAM7,protein_coding,protein_coding
ENSG00000007312,CD79B,CD79B,protein_coding,protein_coding
ENSG00000007314,SCN4A,SCN4A,protein_coding,protein_coding
ENSG00000007341,ST7L,ST7L,protein_coding,protein_coding
ENSG00000007350,TKTL1,TKTL1,protein_coding,protein_coding
ENSG00000007372,PAX6,PAX6,protein_coding,protein_coding
ENSG00000007376,RPUSD1,RPUSD1,protein_coding,protein_coding
ENSG00000007384,RHBDF1,RHBDF1,protein_coding,protein_coding
ENSG00000007392,LUC7L,LUC7L,protein_coding,protein_coding
ENSG00000007402,CACNA2D2,CACNA2D2,protein_coding,protein_coding
ENSG00000007516,BAIAP3,BAIAP3,protein_coding,protein_coding
ENSG00000007520,TSR3,TSR3,protein_coding,protein_coding
ENSG00000007541,PIGQ,PIGQ,protein_coding,protein_coding
ENSG00000007545,CRAMP1,CRAMP1,protein_coding,protein_coding
ENSG00000007866,TEAD3,TEAD3,protein_coding,protein_coding
ENSG00000007908,SELE,SELE,protein_coding,protein_coding
ENSG00000007923,DNAJC11,DNAJC11,protein_coding,protein_coding
ENSG00000007933,FMO3,FMO3,protein_coding,protein_coding
ENSG00000007944,MYLIP,MYLIP,protein_coding,protein_coding
ENSG00000007952,NOX1,NOX1,protein_coding,protein_coding
ENSG00000007968,E2F2,E2F2,protein_coding,protein_coding
ENSG00000008018,PSMB1,PSMB1,protein_coding,protein_coding
ENSG00000008056,SYN1,SYN1,protein_coding,protein_coding
ENSG00000008083,JARID2,JARID2,protein_coding,protein_coding
ENSG00000008086,CDKL5,CDKL5,protein_coding,protein_coding
ENSG00000008118,CAMK1G,CAMK1G,protein_coding,protein_coding
ENSG00000008128,CDK11A,CDK11A,protein_coding,protein_coding
ENSG00000008130,NADK,NADK,protein_coding,protein_coding
ENSG00000008196,TFAP2B,TFAP2B,protein_coding,protein_coding
ENSG00000008197,TFAP2D,TFAP2D,protein_coding,protein_coding
ENSG00000008226,DLEC1,DLEC1,protein_coding,protein_coding
ENSG00000008256,CYTH3,CYTH3,protein_coding,protein_coding
ENSG00000008277,ADAM22,ADAM22,protein_coding,protein_coding
ENSG00000008282,SYPL1,SYPL1,protein_coding,protein_coding
ENSG00000008283,CYB561,CYB561,protein_coding,protein_coding
ENSG00000008294,SPAG9,SPAG9,protein_coding,protein_coding
ENSG00000008300,CELSR3,CELSR3,protein_coding,protein_coding
ENSG00000008311,AASS,AASS,protein_coding,protein_coding
ENSG00000008323,PLEKHG6,PLEKHG6,protein_coding,protein_coding
ENSG00000008324,SS18L2,SS18L2,protein_coding,protein_coding
ENSG00000008382,MPND,MPND,protein_coding,protein_coding
ENSG00000008394,MGST1,MGST1,protein_coding,protein_coding
ENSG00000008405,CRY1,CRY1,protein_coding,protein_coding
ENSG00000008438,PGLYRP1,PGLYRP1,protein_coding,protein_coding
ENSG00000008441,NFIX,NFIX,protein_coding,protein_coding
ENSG00000008513,ST3GAL1,ST3GAL1,protein_coding,protein_coding
ENSG00000008516,MMP25,MMP25,protein_coding,protein_coding
ENSG00000008517,IL32,IL32,protein_coding,protein_coding
ENSG00000008710,PKD1,PKD1,protein_coding,protein_coding
ENSG00000008735,MAPK8IP2,MAPK8IP2,protein_coding,protein_coding
ENSG00000008838,MED24,MED24,protein_coding,protein_coding
ENSG00000008853,RHOBTB2,RHOBTB2,protein_coding,protein_coding
ENSG00000008869,HEATR5B,HEATR5B,protein_coding,protein_coding
ENSG00000008952,SEC62,SEC62,protein_coding,protein_coding
ENSG00000008988,RPS20,RPS20,protein_coding,protein_coding
ENSG00000009307,CSDE1,CSDE1,protein_coding,protein_coding
ENSG00000009335,UBE3C,UBE3C,protein_coding,protein_coding
ENSG00000009413,REV3L,REV3L,protein_coding,protein_coding
ENSG00000009694,TENM1,TENM1,protein_coding,protein_coding
ENSG00000009709,PAX7,PAX7,protein_coding,protein_coding
ENSG00000009724,MASP2,MASP2,protein_coding,protein_coding
ENSG00000009765,IYD,IYD,protein_coding,protein_coding
ENSG00000009780,FAM76A,FAM76A,protein_coding,protein_coding
ENSG00000009790,TRAF3IP3,TRAF3IP3,protein_coding,protein_coding
ENSG00000009830,POMT2,POMT2,protein_coding,protein_coding
ENSG00000009844,VTA1,VTA1,protein_coding,protein_coding
ENSG00000009950,MLXIPL,MLXIPL,protein_coding,protein_coding
ENSG00000009954,BAZ1B,BAZ1B,protein_coding,protein_coding
ENSG00000010017,RANBP9,RANBP9,protein_coding,protein_coding
ENSG00000010030,ETV7,ETV7,protein_coding,protein_coding
ENSG00000010072,SPRTN,SPRTN,protein_coding,protein_coding
ENSG00000010165,EEF1AKNMT,METTL13,protein_coding,protein_coding
ENSG00000010219,DYRK4,DYRK4,protein_coding,protein_coding
ENSG00000010244,ZNF207,ZNF207,protein_coding,protein_coding
ENSG00000010256,UQCRC1,UQCRC1,protein_coding,protein_coding
ENSG00000010270,STARD3NL,STARD3NL,protein_coding,protein_coding
ENSG00000010278,CD9,CD9,protein_coding,protein_coding
ENSG00000010282,HHATL,HHATL,protein_coding,protein_coding
ENSG00000010292,NCAPD2,NCAPD2,protein_coding,protein_coding
ENSG00000010295,IFFO1,IFFO1,protein_coding,protein_coding
ENSG00000010310,GIPR,GIPR,protein_coding,protein_coding
ENSG00000010318,PHF7,PHF7,protein_coding,protein_coding
ENSG00000010319,SEMA3G,SEMA3G,protein_coding,protein_coding
ENSG00000010322,NISCH,NISCH,protein_coding,protein_coding
ENSG00000010327,STAB1,STAB1,protein_coding,protein_coding
ENSG00000010361,FUZ,FUZ,protein_coding,protein_coding
ENSG00000010379,SLC6A13,SLC6A13,protein_coding,protein_coding
ENSG00000010404,IDS,IDS,protein_coding,protein_coding
ENSG00000010438,PRSS3,PRSS3,protein_coding,protein_coding
ENSG00000010539,ZNF200,ZNF200,protein_coding,protein_coding
ENSG00000010610,CD4,CD4,protein_coding,protein_coding
ENSG00000010626,LRRC23,LRRC23,protein_coding,protein_coding
ENSG00000010671,BTK,BTK,protein_coding,protein_coding
ENSG00000010704,HFE,HFE,protein_coding,protein_coding
ENSG00000010803,SCMH1,SCMH1,protein_coding,protein_coding
ENSG00000010810,FYN,FYN,protein_coding,protein_coding
ENSG00000010818,HIVEP2,HIVEP2,protein_coding,protein_coding
ENSG00000010932,FMO1,FMO1,protein_coding,protein_coding
ENSG00000011007,ELOA,ELOA,protein_coding,protein_coding
ENSG00000011009,LYPLA2,LYPLA2,protein_coding,protein_coding
ENSG00000011021,CLCN6,CLCN6,protein_coding,protein_coding
ENSG00000011028,MRC2,MRC2,protein_coding,protein_coding
ENSG00000011083,SLC6A7,SLC6A7,protein_coding,protein_coding
ENSG00000011105,TSPAN9,TSPAN9,protein_coding,protein_coding
ENSG00000011114,BTBD7,BTBD7,protein_coding,protein_coding
ENSG00000011132,APBA3,APBA3,protein_coding,protein_coding
ENSG00000011143,MKS1,MKS1,protein_coding,protein_coding
ENSG00000011198,ABHD5,ABHD5,protein_coding,protein_coding
ENSG00000011201,ANOS1,ANOS1,protein_coding,protein_coding
ENSG00000011243,AKAP8L,AKAP8L,protein_coding,protein_coding
ENSG00000011258,MBTD1,MBTD1,protein_coding,protein_coding
ENSG00000011260,UTP18,UTP18,protein_coding,protein_coding
ENSG00000011275,RNF216,RNF216,protein_coding,protein_coding
ENSG00000011295,TTC19,TTC19,protein_coding,protein_coding
ENSG00000011304,PTBP1,PTBP1,protein_coding,protein_coding
ENSG00000011332,DPF1,DPF1,protein_coding,protein_coding
ENSG00000011347,SYT7,SYT7,protein_coding,protein_coding
ENSG00000011376,LARS2,LARS2,protein_coding,protein_coding
ENSG00000011405,PIK3C2A,PIK3C2A,protein_coding,protein_coding
ENSG00000011422,PLAUR,PLAUR,protein_coding,protein_coding
ENSG00000011426,ANLN,ANLN,protein_coding,protein_coding
ENSG00000011451,WIZ,WIZ,protein_coding,protein_coding
ENSG00000011454,RABGAP1,RABGAP1,protein_coding,protein_coding
ENSG00000011465,DCN,DCN,protein_coding,protein_coding
ENSG00000011478,QPCTL,QPCTL,protein_coding,protein_coding
ENSG00000011485,PPP5C,PPP5C,protein_coding,protein_coding
ENSG00000011523,CEP68,CEP68,protein_coding,protein_coding
ENSG00000011566,MAP4K3,MAP4K3,protein_coding,protein_coding
ENSG00000011590,ZBTB32,ZBTB32,protein_coding,protein_coding
ENSG00000011600,TYROBP,TYROBP,protein_coding,protein_coding
ENSG00000011638,TMEM159,LDAF1,protein_coding,protein_coding
ENSG00000011677,GABRA3,GABRA3,protein_coding,protein_coding
ENSG00000012048,BRCA1,BRCA1,protein_coding,protein_coding
ENSG00000012061,ERCC1,ERCC1,protein_coding,protein_coding
ENSG00000012124,CD22,CD22,protein_coding,protein_coding
ENSG00000012171,SEMA3B,SEMA3B,protein_coding,protein_coding
ENSG00000012174,MBTPS2,MBTPS2,protein_coding,protein_coding
ENSG00000012211,PRICKLE3,PRICKLE3,protein_coding,protein_coding
ENSG00000012223,LTF,LTF,protein_coding,protein_coding
ENSG00000012232,EXTL3,EXTL3,protein_coding,protein_coding
ENSG00000012504,NR1H4,NR1H4,protein_coding,protein_coding
ENSG00000012660,ELOVL5,ELOVL5,protein_coding,protein_coding
ENSG00000012779,ALOX5,ALOX5,protein_coding,protein_coding
ENSG00000012817,KDM5D,KDM5D,protein_coding,protein_coding
ENSG00000012822,CALCOCO1,CALCOCO1,protein_coding,protein_coding
ENSG00000012963,UBR7,UBR7,protein_coding,protein_coding
ENSG00000012983,MAP4K5,MAP4K5,protein_coding,protein_coding
ENSG00000013016,EHD3,EHD3,protein_coding,protein_coding
ENSG00000013275,PSMC4,PSMC4,protein_coding,protein_coding
ENSG00000013288,MAN2B2,MAN2B2,protein_coding,protein_coding
ENSG00000013293,SLC7A14,SLC7A14,protein_coding,protein_coding
ENSG00000013297,CLDN11,CLDN11,protein_coding,protein_coding
ENSG00000013306,SLC25A39,SLC25A39,protein_coding,protein_coding
ENSG00000013364,MVP,MVP,protein_coding,protein_coding
ENSG00000013374,NUB1,NUB1,protein_coding,protein_coding
ENSG00000013375,PGM3,PGM3,protein_coding,protein_coding
ENSG00000013392,RWDD2A,RWDD2A,protein_coding,protein_coding
ENSG00000013441,CLK1,CLK1,protein_coding,protein_coding
ENSG00000013503,POLR3B,POLR3B,protein_coding,protein_coding
ENSG00000013523,ANGEL1,ANGEL1,protein_coding,protein_coding
ENSG00000013561,RNF14,RNF14,protein_coding,protein_coding
ENSG00000013563,DNASE1L1,DNASE1L1,protein_coding,protein_coding
ENSG00000013573,DDX11,DDX11,protein_coding,protein_coding
ENSG00000013583,HEBP1,HEBP1,protein_coding,protein_coding
ENSG00000013588,GPRC5A,GPRC5A,protein_coding,protein_coding
ENSG00000013619,MAMLD1,MAMLD1,protein_coding,protein_coding
ENSG00000013725,CD6,CD6,protein_coding,protein_coding
ENSG00000013810,TACC3,TACC3,protein_coding,protein_coding
ENSG00000014123,UFL1,UFL1,protein_coding,protein_coding
ENSG00000014138,POLA2,POLA2,protein_coding,protein_coding
ENSG00000014164,ZC3H3,ZC3H3,protein_coding,protein_coding
ENSG00000014216,CAPN1,CAPN1,protein_coding,protein_coding
ENSG00000014257,ACPP,ACP3,protein_coding,protein_coding
ENSG00000014641,MDH1,MDH1,protein_coding,protein_coding
ENSG00000014824,SLC30A9,SLC30A9,protein_coding,protein_coding
ENSG00000014914,MTMR11,MTMR11,protein_coding,protein_coding
ENSG00000014919,COX15,COX15,protein_coding,protein_coding
ENSG00000015133,CCDC88C,CCDC88C,protein_coding,protein_coding
ENSG00000015153,YAF2,YAF2,protein_coding,protein_coding
ENSG00000015171,ZMYND11,ZMYND11,protein_coding,protein_coding
ENSG00000015285,WAS,WAS,protein_coding,protein_coding
ENSG00000015413,DPEP1,DPEP1,protein_coding,protein_coding
ENSG00000015475,BID,BID,protein_coding,protein_coding
ENSG00000015479,MATR3,MATR3,protein_coding,protein_coding
ENSG00000015520,NPC1L1,NPC1L1,protein_coding,protein_coding
ENSG00000015532,XYLT2,XYLT2,protein_coding,protein_coding
ENSG00000015568,RGPD5,RGPD5,protein_coding,protein_coding
ENSG00000015592,STMN4,STMN4,protein_coding,protein_coding
ENSG00000015676,NUDCD3,NUDCD3,protein_coding,protein_coding
ENSG00000016082,ISL1,ISL1,protein_coding,protein_coding
ENSG00000016391,CHDH,CHDH,protein_coding,protein_coding
ENSG00000016402,IL20RA,IL20RA,protein_coding,protein_coding
ENSG00000016490,CLCA1,CLCA1,protein_coding,protein_coding
ENSG00000016602,CLCA4,CLCA4,protein_coding,protein_coding
ENSG00000016864,GLT8D1,GLT8D1,protein_coding,protein_coding
ENSG00000017260,ATP2C1,ATP2C1,protein_coding,protein_coding
ENSG00000017427,IGF1,IGF1,protein_coding,protein_coding
ENSG00000017483,SLC38A5,SLC38A5,protein_coding,protein_coding
ENSG00000017797,RALBP1,RALBP1,protein_coding,protein_coding
ENSG00000018189,RUFY3,RUFY3,protein_coding,protein_coding
ENSG00000018236,CNTN1,CNTN1,protein_coding,protein_coding
ENSG00000018280,SLC11A1,SLC11A1,protein_coding,protein_coding
ENSG00000018408,WWTR1,WWTR1,protein_coding,protein_coding
ENSG00000018510,AGPS,AGPS,protein_coding,protein_coding
ENSG00000018610,CXorf56,STEEP1,protein_coding,protein_coding
ENSG00000018625,ATP1A2,ATP1A2,protein_coding,protein_coding
ENSG00000018699,TTC27,TTC27,protein_coding,protein_coding
ENSG00000018869,ZNF582,ZNF582,protein_coding,protein_coding
ENSG00000019102,VSIG2,VSIG2,protein_coding,protein_coding
ENSG00000019144,PHLDB1,PHLDB1,protein_coding,protein_coding
ENSG00000019169,MARCO,MARCO,protein_coding,protein_coding
ENSG00000019186,CYP24A1,CYP24A1,protein_coding,protein_coding
ENSG00000019485,PRDM11,PRDM11,protein_coding,protein_coding
ENSG00000019505,SYT13,SYT13,protein_coding,protein_coding
ENSG00000019549,SNAI2,SNAI2,protein_coding,protein_coding
ENSG00000019582,CD74,CD74,protein_coding,protein_coding
ENSG00000019991,HGF,HGF,protein_coding,protein_coding
ENSG00000019995,ZRANB1,ZRANB1,protein_coding,protein_coding
ENSG00000020129,NCDN,NCDN,protein_coding,protein_coding
ENSG00000020181,ADGRA2,ADGRA2,protein_coding,protein_coding
ENSG00000020256,ZFP64,ZFP64,protein_coding,protein_coding
ENSG00000020426,MNAT1,MNAT1,protein_coding,protein_coding
ENSG00000020577,SAMD4A,SAMD4A,protein_coding,protein_coding
ENSG00000020633,RUNX3,RUNX3,protein_coding,protein_coding
ENSG00000020922,MRE11,MRE11,protein_coding,protein_coding
ENSG00000021300,PLEKHB1,PLEKHB1,protein_coding,protein_coding
ENSG00000021355,SERPINB1,SERPINB1,protein_coding,protein_coding
ENSG00000021461,CYP3A43,CYP3A43,protein_coding,protein_coding
ENSG00000021488,SLC7A9,SLC7A9,protein_coding,protein_coding
ENSG00000021574,SPAST,SPAST,protein_coding,protein_coding
ENSG00000021645,NRXN3,NRXN3,protein_coding,protein_coding
ENSG00000021762,OSBPL5,OSBPL5,protein_coding,protein_coding
ENSG00000021776,AQR,AQR,protein_coding,protein_coding
ENSG00000021826,CPS1,CPS1,protein_coding,protein_coding
ENSG00000021852,C8B,C8B,protein_coding,protein_coding
ENSG00000022267,FHL1,FHL1,protein_coding,protein_coding
ENSG00000022277,RTF2,RTF2,protein_coding,protein_coding
ENSG00000022355,GABRA1,GABRA1,protein_coding,protein_coding
ENSG00000022556,NLRP2,NLRP2,protein_coding,protein_coding
ENSG00000022567,SLC45A4,SLC45A4,protein_coding,protein_coding
ENSG00000022840,RNF10,RNF10,protein_coding,protein_coding
ENSG00000022976,ZNF839,ZNF839,protein_coding,protein_coding
ENSG00000023041,ZDHHC6,ZDHHC6,protein_coding,protein_coding
ENSG00000023171,GRAMD1B,GRAMD1B,protein_coding,protein_coding
ENSG00000023191,RNH1,RNH1,protein_coding,protein_coding
ENSG00000023228,NDUFS1,NDUFS1,protein_coding,protein_coding
ENSG00000023287,RB1CC1,RB1CC1,protein_coding,protein_coding
ENSG00000023318,ERP44,ERP44,protein_coding,protein_coding
ENSG00000023330,ALAS1,ALAS1,protein_coding,protein_coding
